C C
C1=CC2=C(C=CC3=NSN=C32)C2=NSN=C12 C1=[CH:1]C2=NSN=C2C2=C1C1=NSN=C1[CH:2]=C2
C1=CC2=C(C=CC3=NSN=C32)C2=NSN=C12 C1=[CH:2]C2=C(C3=NSN=C13)[CH:1]=[CH:2]C1=NSN=C21
C1=CC2=C(C=CC3=NSN=C32)C2=NSN=C12 C1=[CH:2]C2=C(C3=NSN=C13)[CH:2]=[CH:1]C1=NSN=C12
C1=CC2=C(C=CS2)S1 C1=CC2=C(C=[CH:1]S2)S1
C1=CC2=C(C=CS2)S1 C1=CC2=C(S1)[CH:1]=CS2
C1=CC2=C(C=CS2)S1 C1=[CH:1]C2=C(S1)[CH:2]=[CH:2]S2
C1=CC2=C(C=CS2)S1 C1=[CH:1]SC2=C1S[CH:2]=C2
C1=CC2=C(C=CS2)S1 C1=[CH:2]C2=C(S1)[CH:2]=[CH:1]S2
C1=CC2=C(C=CS2)S1 S1C2=C(S[CH:2]=[CH:2]2)[CH:2]=[CH:1]1
C1=CC2=C(S1)C1=C(C=C2)C2=C(C=CS2)C=C1 C1=CC2=C(S1)C1=C(C=C2)C2=C(C=CS2)[CH:1]=C1
C1=CC2=C(S1)C1=C(C=C2)C2=C(C=CS2)C=C1 C1=CC2=C(S1)C1=C(C=[CH:1]2)C2=C(C=[CH:2]S2)[CH:2]=C1
C1=CC2=C(S1)C1=C(C=C2)C2=C(C=CS2)C=C1 C1=[CH:1]C2=C(S[CH:2]=C2)C2=C1C1=C(C=[CH:2]S1)[CH:2]=C2
C1=CC2=C(S1)C1=C(C=CS1)C1=CSC=C12 C1=CC2=C(S1)C1=C(C=CS1)C1=[CH:1]SC=C21
C1=CC2=C(S1)C1=C(C=CS1)C1=CSC=C12 C1=CC2=C(S1)C1=C(C=[CH:1]S1)C1=CSC=C12
C1=CC2=C(S1)C1=C(C=CS1)C1=CSC=C12 C1=CC2=C(S1)C1=C(C=[CH:1]S1)C1=[CH:2]S[CH:2]=C21
C1=CC2=C(S1)C1=C(C=CS1)C1=CSC=C12 C1=CC2=C(S1)C1=C(C=[CH:2]S1)C1=[CH:2]S[CH:1]=C21
C1=CC2=C(S1)C1=C(C=CS1)C1=CSC=C12 C1=[CH:1]SC2=C1C1=[CH:2]S[CH:2]=C1C1=C2S[CH:2]=C1
C1=CC2=C(S1)C1=C(C=CS1)C1=CSC=C12 C1=[CH:2]SC2=C1C1=[CH:1]S[CH:2]=C1C1=C2S[CH:2]=C1
C1=CC2=C(S1)C1=C(C=CS1)C2 C1=CC2=C(S1)C1=C(C2)[CH:1]=CS1
C1=CC2=C(S1)C1=C(C=CS1)C2 C1=CC2=C(S1)C1=C(C=CS1)[CH2:1]2
C1=CC2=C(S1)C1=C(C=CS1)C2 C1=CC2=C(S1)C1=C(C=[CH:1]S1)C2
C1=CC2=C(S1)C1=C(C=CS1)C2 C1=CC2=C(S1)C1=C(C=[CH:1]S1)[CH2:2]2
C1=CC2=C(S1)C1=C(C=CS1)C2 C1=CC2=C(S1)C1=C(C=[CH:2]S1)[CH2:1]2
C1=CC2=C(S1)C1=C(C=CS1)C2 C1=[CH:1]C2=C(S1)C1=C([CH:2]=[CH:2]S1)[CH2:2]2
C1=CC2=C(S1)C1=C(C=CS1)C2 C1=[CH:1]SC2=C1[CH2:2]C1=C2S[CH:2]=C1
C1=CC2=C(S1)C1=C(C=CS1)C2 C1=[CH:2]C2=C(S1)C1=C([CH2:1]2)[CH:2]=[CH:2]S1
C1=CC2=C(S1)C1=C(C=CS1)C2 C1=[CH:2]C2=C(S1)C1=C([CH:2]=[CH:1]S1)[CH2:2]2
C1=CC2=C(S1)C1=C(C=CS1)C2 C1=[CH:2]SC2=C1[CH2:1]C1=C2S[CH:2]=C1
C1=CC2=C(S1)C1=C(C=CS1)C=C2 C1=CC2=C(S1)C1=C(C=C2)C=[CH:1]S1
C1=CC2=C(S1)C1=C(C=CS1)C=C2 C1=CC2=C(S1)C1=C(C=C2)[CH:1]=CS1
C1=CC2=C(S1)C1=C(C=CS1)C=C2 C1=CC2=C(S1)C1=C(C=CS1)[CH:1]=C2
C1=CC2=C(S1)C1=C(C=CS1)C=C2 C1=CC2=C(S1)C1=C(C=[CH:2]S1)[CH:2]=[CH:1]2
C1=CC2=C(S1)C1=C(C=CS1)C=C2 C1=[CH:1]C2=C(S1)C1=C([CH:2]=[CH:2]S1)[CH:2]=[CH:2]2
C1=CC2=C(S1)C1=C(C=CS1)C=C2 C1=[CH:2]C2=C(S1)C1=C([CH:2]=[CH:1]2)[CH:2]=[CH:2]S1
C1=CC2=C(S1)C1=C(C=CS1)C=C2 C1=[CH:2]C2=C(S1)C1=C([CH:2]=[CH:1]S1)[CH:2]=[CH:2]2
C1=CC2=C(S1)C1=C(C=CS1)[NH]2 C1=CC2=C(S1)C1=C(C=CS1)[NH:1]2
C1=CC2=C(S1)C1=C(C=CS1)[NH]2 C1=CC2=C(S1)C1=C(C=[CH:1]S1)[NH:2]2
C1=CC2=C(S1)C1=C(C=CS1)[NH]2 C1=CC2=C(S1)C1=C(C=[CH:1]S1)[NH]2
C1=CC2=C(S1)C1=C(C=CS1)[NH]2 C1=CC2=C(S1)C1=C(C=[CH:2]S1)[NH:1]2
C1=CC2=C(S1)C1=C(C=CS1)[NH]2 C1=CC2=C(S1)C1=C([NH]2)[CH:1]=CS1
C1=CC2=C(S1)C1=C(C=CS1)[NH]2 C1=[CH:1]C2=C(S1)C1=C([CH:2]=[CH:2]S1)[NH:2]2
C1=CC2=C(S1)C1=C(C=CS1)[NH]2 C1=[CH:1]SC2=C1[NH:2]C1=C2S[CH:2]=C1
C1=CC2=C(S1)C1=C(C=CS1)[NH]2 C1=[CH:2]C2=C(S1)C1=C([CH:2]=[CH:1]S1)[NH:2]2
C1=CC2=C(S1)C1=C(C=CS1)[NH]2 C1=[CH:2]C2=C(S1)C1=C([NH:1]2)[CH:2]=[CH:2]S1
C1=CC2=C(S1)C1=C(C=CS1)[SiH2]2 C1=CC2=C(S1)C1=C(C=CS1)[SiH2:1]2
C1=CC2=C(S1)C1=C(C=CS1)[SiH2]2 C1=CC2=C(S1)C1=C(C=[CH:1]S1)[SiH2:2]2
C1=CC2=C(S1)C1=C(C=CS1)[SiH2]2 C1=CC2=C(S1)C1=C(C=[CH:1]S1)[SiH2]2
C1=CC2=C(S1)C1=C(C=CS1)[SiH2]2 C1=CC2=C(S1)C1=C(C=[CH:2]S1)[SiH2:1]2
C1=CC2=C(S1)C1=C(C=CS1)[SiH2]2 C1=[CH:1]SC2=C1[SiH2:2]C1=C2S[CH:2]=C1
C1=CC2=C(S1)C1=C(C=CS1)[SiH2]2 C1=[CH:2]SC2=C1[SiH2:1]C1=C2S[CH:2]=C1
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=C2C(=CC3=C1O[CH:2]=[CH:2]3)OC=[CH:1]2
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=C2O[CH:1]=CC2=CC2=C1C=[CH:2]O2
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=C2O[CH:1]=[CH:2]C2=CC2=C1[CH:2]=CO2
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=CC2=C(C=C3C(=C2)OC=[CH:1]3)O1
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=CC2=C(C=C3C=[CH:1]OC3=C2)O1
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=CC2=C(O1)[CH:1]=C1C=[CH:2]OC1=[CH:2]2
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=CC2=C(O1)[CH:2]=C1C=[CH:1]OC1=[CH:2]2
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=CC2=[CH:1]C3=C(C=CO3)C=C2O1
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=[CH:1]C2=[CH:2]C3=C([CH:2]=C2O1)[CH:2]=[CH:2]O3
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=[CH:1]OC2=[CH:2]C3=C(O[CH:2]=C3)[CH:2]=C12
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=[CH:2]C2=C(O1)[CH:2]=C1C(=[CH:2]2)O[CH:1]=[CH:2]1
C1=CC2=CC3=C(C=CO3)C=C2O1 C1=[CH:2]OC2=C1[CH:2]=C1O[CH:2]=CC1=[CH:1]2
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=C2S[CH:1]=CC2=[CH:2]C2=C1C=[CH:2]S2
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=C2S[CH:2]=CC2=[CH:1]C2=C1C=[CH:2]S2
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=C(C=C3C(=C2)SC=[CH:1]3)S1
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=C(C=C3C=CSC3=[CH:1]2)S1
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=C(C=C3C=[CH:1]SC3=C2)S1
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=C(C=C3C=[CH:1]SC3=[CH:2]2)S1
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=C(S1)[CH:1]=C1C=CSC1=[CH:2]2
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=C(S1)[CH:1]=C1C=[CH:2]SC1=[CH:2]2
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=C(S1)[CH:2]=C1C=[CH:1]SC1=C2
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=C(S1)[CH:2]=C1C=[CH:1]SC1=[CH:2]2
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=[CH:1]C3=C(C=C2S1)C=[CH:2]S3
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=[CH:1]C3=C(C=CS3)C=C2S1
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=CC2=[CH:1]C3=C(C=[CH:2]S3)[CH:2]=C2S1
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=[CH:1]C2=[CH:2]C3=C([CH:2]=C2S1)[CH:2]=[CH:2]S3
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=[CH:1]SC2=[CH:2]C3=C(S[CH:2]=C3)[CH:2]=C12
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=[CH:2]C2=C(S1)[CH:2]=C1C(=[CH:1]2)S[CH:2]=[CH:2]1
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=[CH:2]C2=C(S1)[CH:2]=C1C(=[CH:2]2)S[CH:1]=[CH:2]1
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=[CH:2]C2=[CH:2]C3=C([CH:1]=C2S1)[CH:2]=[CH:2]S3
C1=CC2=CC3=C(C=CS3)C=C2S1 C1=[CH:2]SC2=C1[CH:2]=C1S[CH:2]=CC1=[CH:1]2
C1=CC2=CC3=C(SC=C3)C2=[SH]1 C1=C2C=[CH:1][SH]=C2C2=C1C=CS2
C1=CC2=CC3=C(SC=C3)C2=[SH]1 C1=CC2=CC3=C(S[CH:1]=C3)C2=[SH]1
C1=CC2=CC3=C(SC=C3)C2=[SH]1 C1=CC2=[CH:1]C3=C(SC=C3)C2=[SH]1
C1=CC2=CC3=C(SC=C3)C2=[SH]1 C1=CC2=[CH:1]C3=C(S[CH:2]=C3)C2=[SH]1
C1=CC2=CC3=C(SC=C3)C2=[SH]1 C1=CC2=[CH:2]C3=C(S[CH:1]=C3)C2=[SH]1
C1=CC2=CC3=C(SC=C3)C2=[SH]1 C1=[CH:1][SH]=C2C1=[CH:2]C1=C2SC=C1
C1=CC2=CC3=C(SC=C3)C2=[SH]1 C1=[CH:1][SH]=C2C1=[CH:2]C1=C2S[CH:2]=C1
C1=CC2=CC3=C(SC=C3)C2=[SH]1 C1=[CH:2][SH]=C2C1=[CH:1]C1=C2SC=C1
C1=CC2=CC3=C(SC=C3)C2=[SH]1 C1=[CH:2][SH]=C2C1=[CH:1]C1=C2S[CH:2]=C1
C1=CC2=CC3=C(SC=C3)C2=[SH]1 C1=[CH:2][SH]=C2C1=[CH:2]C1=C2S[CH:1]=C1
C1=CC2=CC=C3C(=C2S1)C=CC1=C3SC=C1 C1=CC2=C(S1)C1=CC=C3C=[CH:1]SC3=C1C=C2
C1=CC2=CC=C3C(=C2S1)C=CC1=C3SC=C1 C1=CC2=C(S1)C1=[CH:2][CH:2]=C3C=[CH:1]SC3=C1[CH:2]=[CH:2]2
C1=CC2=CC=C3C(=C2S1)C=CC1=C3SC=C1 C1=CC2=C(S1)C1=[CH:2][CH:2]=C3C=[CH:2]SC3=C1[CH:2]=[CH:1]2
C1=CC2=CC=C3C(=C2S1)C=CC1=C3SC=C1 C1=CC2=CC=C3C(=C2S1)C=[CH:1]C1=C3SC=C1
C1=CC2=CC=C3C(=C2S1)C=CC1=C3SC=C1 C1=CC2=[CH:2][CH:2]=C3C4=C(C=[CH:2]S4)[CH:1]=[CH:2]C3=C2S1
C1=CC2=CC=C3C(=C2S1)C=CC1=C3SC=C1 C1=[CH:1]SC2=C3C(=[CH:2][CH:2]=C12)C1=C(C=[CH:2]S1)[CH:2]=[CH:2]3
C1=CC2=CC=C3C(=C2S1)C=CC1=C3SC=C1 C1=[CH:2]SC2=C3C(=[CH:2][CH:2]=C12)C1=C(C=[CH:2]S1)[CH:1]=[CH:2]3
C1=CC2=CC=C3C=CSC3=C2S1 C1=CC2=CC=C3C=[CH:1]SC3=C2S1
C1=CC2=CC=C3C=CSC3=C2S1 C1=CC2=[CH:2][CH:2]=C3C=[CH:1]SC3=C2S1
C1=CC2=CSC=C2C=C1 C1=C2C=[CH:1][CH:2]=CC2=[CH:2]S1
C1=CC2=CSC=C2C=C1 C1=C2C=[CH:2][CH:1]=CC2=[CH:2]S1
C1=CC2=CSC=C2C=C1 C1=C2C=[CH:2][CH:2]=CC2=[CH:1]S1
C1=CC2=CSC=C2C=C1 C1=CC2=CS[CH:1]=C2C=C1
C1=CC2=CSC=C2C=C1 C1=C[CH:1]=CC2=CSC=C12
C1=CC2=CSC=C2C=C1 C1=[CH:1][CH:2]=CC2=[CH:2]S[CH:2]=C12
C1=CC2=CSC=C2C=C1 C1=[CH:2][CH:2]=CC2=[CH:2]S[CH:1]=C12
C1=CC2=CSC=C2S1 C1=C2C=[CH:1]SC2=CS1
C1=CC2=CSC=C2S1 C1=C2C=[CH:1]SC2=[CH:2]S1
C1=CC2=CSC=C2S1 C1=C2C=[CH:2]SC2=[CH:1]S1
C1=CC2=CSC=C2S1 C1=C2SC=[CH:1]C2=CS1
C1=CC2=CSC=C2S1 C1=C2S[CH:1]=CC2=[CH:2]S1
C1=CC2=CSC=C2S1 C1=C2S[CH:1]=[CH:2]C2=CS1
C1=CC2=CSC=C2S1 C1=C2S[CH:1]=[CH:2]C2=[CH:2]S1
C1=CC2=CSC=C2S1 C1=C2S[CH:2]=[CH:1]C2=CS1
C1=CC2=CSC=C2S1 C1=C2S[CH:2]=[CH:1]C2=[CH:2]S1
C1=CC2=CSC=C2S1 C1=C2S[CH:2]=[CH:2]C2=[CH:1]S1
C1=CC2=CSC=C2S1 C1=CC2=CS[CH:1]=C2S1
C1=CC2=CSC=C2S1 C1=CC2=[CH:1]SC=C2S1
C1=CC2=CSC=C2S1 C1=[CH:1]SC2=[CH:2]S[CH:2]=C12
C1=CC2=CSC=C2S1 C1=[CH:2]SC2=[CH:1]S[CH:2]=C12
C1=CC2=CSC=C2S1 C1=[CH:2]SC2=[CH:2]S[CH:1]=C12
C1=CC2=CSC=C2S1 S1C2=[CH:2]S[CH:2]=C2[CH:2]=[CH:1]1
C1=CC2=CSC=C2S1 S1[CH:1]=C2C(=[CH:2]1)S[CH:2]=[CH:2]2
C1=CC2=CSC=C2S1 S1[CH:1]=C2S[CH:2]=[CH:2]C2=[CH:2]1
C1=CC2=CSC=C2S1 S1[CH:2]=C2S[CH:2]=[CH:1]C2=[CH:2]1
C1=CC2=C[NH]C=C2S1 C1=C2C=[CH:1]SC2=C[NH]1
C1=CC2=C[NH]C=C2S1 C1=C2C=[CH:2]SC2=C[NH:1]1
C1=CC2=C[NH]C=C2S1 C1=C2S[CH:2]=CC2=[CH:2][NH:1]1
C1=CC2=C[NH]C=C2S1 C1=CC2=C[NH:1]C=C2S1
C1=CC2=C[NH]C=C2S1 C1=CC2=C[NH][CH:1]=C2S1
C1=CC2=C[NH]C=C2S1 C1=CC2=[CH:1][NH]C=C2S1
C1=CC2=C[NH]C=C2S1 C1=[CH:1]SC2=C[NH:2]C=C12
C1=CC2=C[NH]C=C2S1 C1=[CH:1]SC2=C[NH:2][CH:2]=C12
C1=CC2=C[NH]C=C2S1 C1=[CH:1]SC2=[CH:2][NH:2][CH:2]=C12
C1=CC2=C[NH]C=C2S1 C1=[CH:2]SC2=C[NH:2][CH:1]=C12
C1=CC2=C[NH]C=C2S1 C1=[CH:2]SC2=[CH:1][NH:2][CH:2]=C12
C1=CC2=C[NH]C=C2S1 C1=[CH:2]SC2=[CH:2][NH:1][CH:2]=C12
C1=CC2=C[NH]C=C2S1 C1=[CH:2]SC2=[CH:2][NH:2][CH:1]=C12
C1=CC2=NC3=C4C=CC=CC4=C4C=CC=CC4=C3N=C2C=C1 C1=CC2=C3C=CC=CC3=C3N=C4C(=NC3=C2C=C1)C=CC=[CH:1]4
C1=CC2=NC3=C4C=CC=CC4=C4C=CC=CC4=C3N=C2C=C1 C1=CC2=C3C=CC=CC3=C3N=C4C(=NC3=C2C=C1)[CH:1]=CC=[CH:2]4
C1=CC2=NC3=C4C=CC=NC4=C4N=CC=CC4=C3N=C2C=C1 C1=CC2=C3N=C4C(=NC3=C3C=CC=NC3=C2N=C1)[CH:2]=CC=[CH:1]4
C1=CC2=NC3=C4C=CC=NC4=C4N=CC=CC4=C3N=C2C=C1 C1=CC2=C3N=C4C=CC=[CH:1]C4=NC3=C3C=CC=NC3=C2N=C1
C1=CC2=NC=CN=C2C=N1 C1=CC2=N[CH:2]=[CH:2]N=C2[CH:1]=N1
C1=CC2=NC=CN=C2C=N1 C1=CN=C2C(=N1)C=CN=[CH:1]2
C1=CC2=NC=CN=C2C=N1 C1=CN=C2C(=N1)C=NC=[CH:1]2
C1=CC2=NC=CN=C2C=N1 C1=NC=[CH:1]C2=N[CH:2]=[CH:2]N=C12
C1=CC2=NSN=C2C=C1 C1=CC2=NSN=C2[CH:1]=C1
C1=CC2=NSN=C2C=C1 C1=C[CH:1]=CC2=NSN=C12
C1=CC2=NSN=C2C=C1 C1=[CH:1]C2=NSN=C2[CH:2]=C1
C1=CC2=NSN=C2C=C1 C1=[CH:1]C=[CH:2]C2=NSN=C12
C1=CC2=NSN=C2C=C1 C1=[CH:1][CH:2]=[CH:2]C2=NSN=C12
C1=CC2=NSN=C2C=C1 C1=[CH:2][CH:2]=[CH:1]C2=NSN=C12
C1=CC2C(=CC1)CC1=CC=CC=C12 C1=CC2C(=CC1)[CH2:1]C1=CC=CC=C12
C1=CC2C(=CC1)CC1=CC=CC=C12 C1=C[CH2:1]C=C2C1C1=CC=CC=C1[CH2:2]2
C1=CC2C(=CC1)CC1=CC=CC=C12 C1=C[CH2:1]C=C2CC3=CC=CC=C3C12
C1=CC2C(=CC1)CC1=CC=CC=C12 C1=C[CH2:2]C=C2C1C1=CC=CC=C1[CH2:1]2
C1=CC2C=C3[SH]=CC=C3C=C2S1 C1=CC2C(=[CH:1]C3=C[CH:2]=[SH]C3=[CH:2]2)S1
C1=CC2C=C3[SH]=CC=C3C=C2S1 C1=CC2C(=[CH:2]C3=C[CH:1]=[SH]C3=[CH:2]2)S1
C1=CC2C=C3[SH]=CC=C3C=C2S1 C1=CC2C=C3[SH]=CC=C3[CH:1]=C2S1
C1=CC2C=C3[SH]=CC=C3C=C2S1 C1=CC2C=C3[SH]=[CH:1]C=C3C=C2S1
C1=CC2C=C3[SH]=CC=C3C=C2S1 C1=[SH]C2=[CH:2]C3C=[CH:2]SC3=[CH:1]C2=C1
C1=CC=C2C(=C1)CC1=CC=CC=C12 C1=C2C3=CC=[CH:2]C=C3[CH2:1]C2=C[CH:2]=C1
C1=CC=C2C(=C1)CC1=CC=CC=C12 C1=C2C3=CC=[CH:2]C=C3[CH2:2]C2=C[CH:1]=C1
C1=CC=C2C(=C1)CC1=CC=CC=C12 C1=CC=C2C(=C1)C1=CC=CC=C1[CH2:1]2
C1=CC=C2C(=C1)CC1=CC=CC=C12 C1=CC=C2C(=C1)C1=CC=[CH:1]C=C1[CH2:2]2
C1=CC=C2C(=C1)CC1=CC=CC=C12 C1=CC=C2C(=C1)C1=CC=[CH:2]C=C1[CH2:1]2
C1=CC=C2C(=C1)CC1=CC=CC=C12 C1=CC=C2C(=C1)CC1=C[CH:1]=CC=C12
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=C2C(=C[CH:2]=C1)[NH:2]C1=C2[NH:2]C2=C[CH:1]=CC=C21
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=C2C3=C(C4=CC=[CH:2]C=C4[NH:1]3)[NH:2]C2=C[CH:2]=C1
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=C2C3=C(C4=C[CH:2]=[CH:1][CH:2]=C4[NH:2]3)[NH:2]C2=[CH:2]C=[CH:2]1
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=CC=C2C(=C1)C1=C(C3=CC=CC=C3[NH:1]1)[NH:2]2
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=CC=C2C(=C1)C1=C(C3=CC=[CH:1]C=C3[NH:2]1)[NH:2]2
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=CC=C2C(=C1)C1=C(C3=CC=[CH:2]C=C3[NH:1]1)[NH:2]2
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=CC=C2C(=C1)C1=C(C3=CC=[CH:2]C=C3[NH:2]1)[NH:1]2
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=CC=C2C(=C1)C1=C(C3=C[CH:1]=CC=C3[NH:2]1)[NH:2]2
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=CC=C2C(=C1)C1=C(C3=C[CH:2]=CC=C3[NH:1]1)[NH:2]2
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=CC=C2C(=C1)[NH]C1=C2[NH:1]C2=CC=CC=C12
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=[CH:1]C=C21
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=C[CH:1]=CC=C21
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=C[CH:2]=C2C(=C1)C1=C(C3=CC=[CH:1][CH:2]=C3[NH:2]1)[NH:2]2
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=C[CH:2]=C2C(=C1)[NH:2]C1=C2[NH:2]C2=C[CH:1]=C[CH:2]=C21
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=C[CH:2]=C2C(=[CH:2]1)C1=C(C3=[CH:2]C=[CH:1][CH:2]=C3[NH:2]1)[NH:2]2
C1=CC=C2C(=C1)[NH]C1=C2[NH]C2=CC=CC=C21 C1=[CH:2][CH:2]=C2C3=C(C4=[CH:2][CH:2]=[CH:1][CH:2]=C4[NH:2]3)[NH:2]C2=[CH:2]1
C1=CC=C2C(=C1)[NH]C1=CC=CC=C12 C1=C2C3=C[CH:2]=[CH:1][CH:2]=C3[NH:2]C2=[CH:2]C=[CH:2]1
C1=CC=C2C(=C1)[NH]C1=CC=CC=C12 C1=CC=C2C(=C1)C1=CC=CC=C1[NH:1]2
C1=CC=C2C(=C1)[NH]C1=CC=CC=C12 C1=CC=C2C(=C1)C1=CC=C[CH:2]=C1[NH:1]2
C1=CC=C2C(=C1)[NH]C1=CC=CC=C12 C1=CC=C2C(=C1)C1=CC=[CH:1]C=C1[NH:2]2
C1=CC=C2C(=C1)[NH]C1=CC=CC=C12 C1=CC=C2C(=C1)C1=CC=[CH:2]C=C1[NH:1]2
C1=CC=C2C(=C1)[NH]C1=CC=CC=C12 C1=CC=C2C(=C1)C1=C[CH:1]=CC=C1[NH:2]2
C1=CC=C2C(=C1)[NH]C1=CC=CC=C12 C1=CC=C2C(=C1)C1=C[CH:2]=CC=C1[NH:1]2
